"datetime";"value"
2017-01-19 06:00:00;28804.1
2017-01-19 07:00:00;34329.6
2017-01-19 08:00:00;37538.2
2017-01-19 09:00:00;39045.4
2017-01-19 10:00:00;39939.5
2017-01-19 11:00:00;40245.2
2017-01-19 12:00:00;40217.8
2017-01-19 13:00:00;40149
2017-01-19 14:00:00;38684.1
2017-01-19 15:00:00;38237.3
2017-01-19 16:00:00;38140.2
2017-01-19 17:00:00;38585.9
2017-01-19 18:00:00;40024.8
2017-01-19 19:00:00;40990.6
2017-01-19 20:00:00;40866.6
2017-01-19 21:00:00;39532.3
2017-01-19 22:00:00;36808
2017-01-19 23:00:00;33589.6
2017-01-20 00:00:00;30339.6
2017-01-20 01:00:00;28049
2017-01-20 02:00:00;26533.4
2017-01-20 03:00:00;26087.1
2017-01-20 04:00:00;25976
2017-01-20 05:00:00;26476.5
2017-01-20 06:00:00;29537.9
2017-01-20 07:00:00;34566.6
2017-01-20 08:00:00;37790.9
2017-01-20 09:00:00;39197.2
2017-01-20 10:00:00;40063.7
2017-01-20 11:00:00;40224.4
2017-01-20 12:00:00;39692.4
2017-01-20 13:00:00;39426.2
2017-01-20 14:00:00;37893.5
2017-01-20 15:00:00;37013.4
2017-01-20 16:00:00;36727.8
2017-01-20 17:00:00;36946.5
2017-01-20 18:00:00;38053.5
2017-01-20 19:00:00;39220.3
2017-01-20 20:00:00;38666.6
2017-01-20 21:00:00;37879
2017-01-20 22:00:00;35423.8
2017-01-20 23:00:00;32463.1
2017-01-21 00:00:00;29953.1
2017-01-21 01:00:00;27570
2017-01-21 02:00:00;25698.7
2017-01-21 03:00:00;24752.7
2017-01-21 04:00:00;24254.2
2017-01-21 05:00:00;24138.7
2017-01-21 06:00:00;24918.1
2017-01-21 07:00:00;26400
2017-01-21 08:00:00;28036.7
2017-01-21 09:00:00;31786.1
2017-01-21 10:00:00;33980.4
2017-01-21 11:00:00;34602.5
2017-01-21 12:00:00;34404.2
2017-01-21 13:00:00;34250.8
2017-01-21 14:00:00;33366.5
2017-01-21 15:00:00;31904.8
2017-01-21 16:00:00;30786.8
2017-01-21 17:00:00;31109.7
2017-01-21 18:00:00;32899.2
2017-01-21 19:00:00;34029.2
2017-01-21 20:00:00;34632.3
