"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A"
"SP1","18/12/16","La Coruna","Osasuna",2,0,"H",8,13,4,3,8,16,5,1,1,3,0,0,1.57,3.75,6
"SP1","18/12/16","Leganes","Eibar",1,1,"D",8,15,2,4,10,10,3,6,2,2,1,0,2.55,3.1,2.88
"SP1","19/12/16","Ath Bilbao","Celta",2,1,"H",10,10,7,4,16,13,9,7,4,2,0,1,1.83,3.5,4.33
"SP1","06/01/17","Espanol","La Coruna",1,1,"D",14,13,4,3,13,14,2,8,1,1,0,1,2.05,3.3,3.8
"SP1","07/01/17","Eibar","Ath Madrid",0,2,"A",15,8,2,4,11,10,5,3,2,2,0,0,5.5,3.5,1.73
"SP1","07/01/17","Las Palmas","Sp Gijon",1,0,"H",16,10,10,2,8,18,8,3,2,3,0,0,1.67,3.75,5.5
"SP1","07/01/17","Real Madrid","Granada",5,0,"H",23,3,13,1,11,12,9,1,1,4,0,0,1.07,13,26
"SP1","07/01/17","Sociedad","Sevilla",0,4,"A",11,11,5,10,15,18,7,4,2,3,0,0,2.25,3.4,3.2
"SP1","08/01/17","Ath Bilbao","Alaves",0,0,"D",15,10,4,4,10,13,13,4,2,4,0,0,1.53,3.8,7.5
"SP1","08/01/17","Betis","Leganes",2,0,"H",16,9,3,3,10,20,4,2,2,6,0,0,2.1,3.25,3.75
"SP1","08/01/17","Celta","Malaga",3,1,"H",6,13,3,4,17,15,2,7,1,4,0,0,1.85,3.6,4.33
"SP1","08/01/17","Villarreal","Barcelona",1,1,"D",6,20,3,7,16,13,2,4,1,2,1,0,6,4.33,1.53
"SP1","09/01/17","Osasuna","Valencia",3,3,"D",22,7,4,3,19,13,7,3,2,5,0,0,4,3.5,1.95
"SP1","14/01/17","Ath Madrid","Betis",1,0,"H",6,10,3,6,15,17,9,2,1,3,0,0,1.2,6.5,17
"SP1","14/01/17","Barcelona","Las Palmas",5,0,"H",22,7,10,1,15,11,5,1,3,4,0,0,1.1,11,26
"SP1","14/01/17","La Coruna","Villarreal",0,0,"D",13,4,3,1,14,8,10,0,0,1,0,0,2.7,3.1,2.8
"SP1","14/01/17","Leganes","Ath Bilbao",0,0,"D",15,10,5,2,20,11,4,8,3,3,0,0,3.25,3.1,2.38
"SP1","15/01/17","Celta","Alaves",1,0,"H",13,9,4,1,19,10,7,4,4,3,0,1,1.7,3.75,5.25
"SP1","15/01/17","Granada","Osasuna",1,1,"D",8,13,4,3,13,23,3,5,2,4,2,0,2.05,3.4,3.8
"SP1","15/01/17","Sevilla","Real Madrid",2,1,"H",9,10,4,3,13,10,6,1,3,1,0,0,3.6,3.8,1.95
"SP1","15/01/17","Sp Gijon","Eibar",2,3,"A",10,18,4,7,13,16,2,4,4,0,0,0,2.9,3.1,2.6
"SP1","15/01/17","Valencia","Espanol",2,1,"H",10,6,5,3,17,13,6,3,5,0,0,0,1.91,3.6,4
"SP1","16/01/17","Malaga","Sociedad",0,2,"A",5,11,1,5,22,12,8,8,0,2,0,0,2.4,3.3,3
"SP1","20/01/17","Las Palmas","La Coruna",1,1,"D",9,7,3,1,13,8,4,5,0,1,1,0,2.25,3.3,3.3
"SP1","21/01/17","Alaves","Leganes",2,2,"D",8,13,3,4,9,20,4,3,3,2,0,0,2.2,3.1,3.6
"SP1","21/01/17","Espanol","Granada",3,1,"H",17,7,8,4,19,17,10,5,0,3,0,0,1.57,4,6
"SP1","21/01/17","Real Madrid","Malaga",2,1,"H",14,10,7,6,7,20,5,4,2,3,0,0,1.13,10,17
"SP1","21/01/17","Villarreal","Valencia",0,2,"A",20,13,5,5,14,17,7,2,2,2,0,0,1.85,3.6,4.33
"SP1","22/01/17","Ath Bilbao","Ath Madrid",2,2,"D",8,11,5,5,12,9,2,6,2,3,0,0,4,3.2,2.05
"SP1","22/01/17","Betis","Sp Gijon",0,0,"D",16,7,4,1,14,20,9,5,2,2,0,0,1.73,3.6,5.25
"SP1","22/01/17","Eibar","Barcelona",0,4,"A",14,14,6,7,12,4,8,5,3,1,0,0,9.5,6,1.29
"SP1","22/01/17","Osasuna","Sevilla",3,4,"A",14,13,7,9,14,8,3,6,5,3,0,0,6,4.33,1.53
"SP1","22/01/17","Sociedad","Celta",1,0,"H",17,11,6,5,13,12,4,3,2,2,0,0,1.95,3.6,3.8
"SP1","27/01/17","Osasuna","Malaga",1,1,"D",14,14,2,5,9,16,4,6,1,0,0,0,2.88,3.3,2.5
"SP1","28/01/17","Alaves","Ath Madrid",0,0,"D",19,8,4,2,19,18,7,2,3,2,0,0,6,3.6,1.62
"SP1","28/01/17","Eibar","La Coruna",3,1,"H",12,20,6,7,14,7,9,10,0,2,0,0,2.1,3.25,3.75
"SP1","28/01/17","Leganes","Celta",0,2,"A",6,3,0,3,20,14,8,0,1,1,0,0,2.3,3.1,3.4
"SP1","28/01/17","Villarreal","Granada",2,0,"H",18,7,6,0,11,18,7,4,3,2,0,0,1.36,4.75,9.5
"SP1","29/01/17","Ath Bilbao","Sp Gijon",2,1,"H",11,5,6,3,11,22,5,0,4,3,0,0,1.36,4.75,9.5
"SP1","29/01/17","Betis","Barcelona",1,1,"D",17,10,7,4,17,12,8,2,2,3,0,0,12,6,1.25
"SP1","29/01/17","Espanol","Sevilla",3,1,"H",16,12,8,5,18,14,7,4,2,2,0,1,3.3,3.4,2.2
"SP1","29/01/17","Real Madrid","Sociedad",3,0,"H",7,9,4,3,16,11,0,3,2,1,0,1,1.25,6.5,10
"SP1","30/01/17","Las Palmas","Valencia",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.4,2.8
